ExtractDate,Id,Name,Contact,Venue,Cost,Eligibility,CoordinateReferenceSystem,GeoX,GeoY
05/06/2014,ZVm5L7ZZRWs,1st Axminster Scout Group,,"Scout Hut
Widepost Lane
AXMINSTER
DEVON
EX13 5PS",,from 6 years  up to 24 years ,WGS84,-3.00182,50.77958
05/06/2014,s3oYU9fU270,1st Bampton Scout Group,,"Scout HQ
Old Tiverton Road
Bampton
TIVERTON
DEVON
EX16 9DP",,from 6 years  up to 14 years ,WGS84,-3.47993,50.98844
05/06/2014,ftSJWI4lhrU,1st Beer Scout Group,,"Scout Hut
Clapps Lane
Beer
SEATON
DEVON
EX12 3HQ",,from 6 years  up to 24 years ,WGS84,-3.09759,50.69704
05/06/2014,YPEwy8skcTI,1st Bishopsteignton Scout Group,1stbishopsteignton@teignbridgescouts.co.uk,"Scout Hut
Radway Hill
Bishopsteignton
TEIGNMOUTH
DEVON
TQ14 9SW",,from 6 years  up to 14 years ,WGS84,-3.53826,50.55414
05/06/2014,N4TIwT9ZHj0,1st Bovey Tracey Scout Group,1stboveytracey@teignbridgescouts.co.uk,"Scout HQ
St Johns Lane
Bovey Tracey
NEWTON ABBOT
DEVON
TQ13 9FF",,from 6 years  up to 14 years ,WGS84,-3.68045,50.59254
05/06/2014,qZR6zkZtuwI,1st Bradninch Scout Group,,"Bradninch Baptist Church
Millway
Bradninch
EXETER
DEVON
EX5 4NL",,from 8 years  up to 14 years ,WGS84,-3.42113,50.8261
05/06/2014,2gsNqEgSPr8,1st Bradworthy Scout Group,,"Memorial Hall
The Square
Bradworthy
HOLSWORTHY
DEVON
EX22 7SZ",£25 per term.,from 6 years  up to 10 years 6 months ,WGS84,-4.3855,50.90125
05/06/2014,d4ogeoZh1CE,1st Bratton Fleming Scout Group,,"Village Hall
Station Road
Bratton Fleming
BARNSTAPLE
DEVON
EX31 4TZ",,from 6 years  up to 10 years ,WGS84,-3.9404,51.12362
05/06/2014,NZGgnHvovTA,1st Brentor and Mary Tavy Scout Group,,"Brentor Village Hall
Brentor
TAVISTOCK
DEVON
PL19 0LZ",,from 6 years  up to 24 years ,WGS84,-4.14438,50.61607
05/06/2014,IQ5IMdehb4E,1st Brixton and Yealmpton Scout Group,,"Scout HQ
Horn Lane
Brixton
PLYMOUTH
DEVON
PL8 2AB",,from 6 years  up to 24 years ,WGS84,-4.03756,50.35047
05/06/2014,MiD77D8i_sg,1st Buckland (St Andrew's) Scout Group,,"St Andrew's C of E Primary School
The Village
Buckland Monachorum
YELVERTON
DEVON
PL20 7NA",,from 6 years  up to 24 years ,WGS84,-4.13026,50.49489
05/06/2014,UFlxA46YOjs,1st Budleigh Salterton Scout Group,,"Scout Hut
Halse Hill
BUDLEIGH SALTERTON
DEVON
EX9 6AB",,from 6 years  up to 10 years ,WGS84,-3.33643,50.63078
05/06/2014,Z4j8AxuohLI,1st Chivenor Scout Group,,"Southmead Primary School
Wrafton Road
BRAUNTON
DEVON
EX33 2BU",,from 6 years  up to 24 years ,WGS84,-4.15543,51.10327
05/06/2014,kZwBgDBBWR8,1st Choice - Sunshine Care Ltd,"Katie Spring
Service Manager
01752 242454
info@sunshinecare.co.uk","City Business Park
Somerset Place
Stoke
Plymouth
Devon
PL3 4BB",Contact us for details.,,WGS84,-4.1609,50.38209
05/06/2014,DH3iRqZaQJI,1st Chudleigh Scout Group,1stchudleigh@teignbridgescouts.co.uk,"Scout HQ
Church Lane
Chudleigh
NEWTON ABBOT
DEVON
TQ13 0HT",,from 6 years  up to 18 years ,WGS84,-3.60135,50.6045
05/06/2014,Myb0Z611zX8,1st Chulmleigh Brownies,colletonmillfarm@btinternet.com,"Chulmleigh Pavilion
Leigh Road
CHULMLEIGH
DEVON
EX18 7BL",£15 per term.,from 7 years  up to 10 years ,WGS84,-3.87187,50.91355
05/06/2014,Hyo0BPBCLWo,1st Chulmleigh Scout Group,,"Chulmleigh Pavilion
Leigh Road
CHULMLEIGH
DEVON
EX18 7BL",,from 8 years  up to 14 years ,WGS84,-3.87187,50.91355
05/06/2014,xowK6GZoXi0,1st Colyton Brownies,,"28
Courtenay Drive
COLYTON
DEVON
EX24 6QB",£15 per term.,from 7 years  up to 10 years ,WGS84,-3.06651,50.73391
05/06/2014,REAl4xk21nI,1st Colyton Scout Group,,"Guide Hall
Rosemary Lane
COLYTON
DEVON
EX24 6LS",,from 6 years  up to 24 years ,WGS84,-3.06904,50.74242
05/06/2014,FyUzvqOlQis,1st Combe Martin Brownies,shortstuff0303@hotmail.com,"Combe Martin Community Centre
Church Street
Combe Martin
ILFRACOMBE
DEVON
EX34 0LQ",£28 per term.,from 7 years  up to 10 years ,WGS84,-4.02386,51.1985
05/06/2014,cjY3a1HcWGQ,1st Combe Martin Guides,fibob258@hotmail.com,"Pullands
West Down
ILFRACOMBE
DEVON
EX34 8NH",£30 per term.,from 10 years  up to 15 years ,WGS84,-4.1221,51.15773
05/06/2014,Sdndqk8FQxA,1st Crediton Scout Group,,"Scout HQ
Newcombes
CREDITON
DEVON
EX17 2AR",,from 6 years  up to 24 years ,WGS84,-3.6541,50.79209
05/06/2014,cCPWMnKJ7zA,1st Cullompton Rainbows,,"CULLOMPTON
DEVON
EX15 1BP",,from 5 years  up to 7 years ,WGS84,-3.39304,50.856
05/06/2014,slqR8XfmDno,1st Cullompton Scout Group,,"Scout Hut
Tiverton Road
CULLOMPTON
DEVON
EX15 1HT",,from 6 years  up to 14 years ,WGS84,-3.39516,50.85712
05/06/2014,evRq2NUVxjA,1st Culmstock Scout Group,,"Culmstock Primary School
Culmstock
CULLOMPTON
DEVON
EX15 3JP",,from 6 years  up to 24 years ,WGS84,-3.28109,50.91891
05/06/2014,Cm3n_1UisCw,1st Dartmouth and Kingswear Scout Group,,"Scout HQ
Higher Broad Park
DARTMOUTH
DEVON
TQ6 9HA",,from 6 years  up to 24 years ,WGS84,-3.59212,50.34965
05/06/2014,TWidY9FahXU,1st Dawlish Scout Group,1stdawlish@teignbridgescouts.co.uk,"Dawlish Scouts HQ
Kingsdown Crescent
DAWLISH
DEVON
EX7 0HB",,from 6 years  up to 18 years ,WGS84,-3.46258,50.58806
05/06/2014,pdRzQNHy3t4,1st Dolton Scout Group,,"Dolton and Dowland Village Hall
South Street
Dolton
WINKLEIGH
DEVON
EX19 8QF",,from 6 years  up to 24 years ,WGS84,-4.03492,50.8905
05/06/2014,GH-3RAL7wBk,1st Drewsteignton and Chagford Scout Group,,"Drewe Arms
Drewsteignton
EXETER
DEVON
EX6 6QN",,from 10 years  up to 14 years ,WGS84,-3.79154,50.70334
05/06/2014,9WEzzxKRDW8,1st Edgehill and Torridge Scout Group,,"Kingsley School
Northdown Road
BIDEFORD
DEVON
EX39 3LY",£24 per term.,from 6 years  up to 14 years ,WGS84,-4.21863,51.02073
05/06/2014,i_E5e-vX8qY,1st Exmouth Scout Group,,"Scout Hut
Marpool Hill
EXMOUTH
DEVON
EX8 1TD",,from 6 years  up to 10 years ,WGS84,-3.40685,50.62411
05/06/2014,adof36Hopuc,1st Fremington Air Scout Group,,"Scout HQ
Beechfield Road
Fremington
BARNSTAPLE
DEVON
EX31 3DB",,from 10 years  up to 14 years ,WGS84,-4.13152,51.07016
05/06/2014,JCBRtiLP2Xg,1st Halwill Scout Group,,"Halwill Parish Hall
Halwill Junction
BEAWORTHY
DEVON
EX21 5XR",,from 6 years  up to 24 years ,WGS84,-4.2077,50.77893
05/06/2014,9WTYX0NcZIE,1st Hartland Scout Group,robathighdown@aol.com,"Hartland CP School
North Road
Hartland
BIDEFORD
DEVON
EX39 6BP",£85 per year.,from 8 years  up to 11 years ,WGS84,-4.48107,50.99389
05/06/2014,0MOjfvS3kvs,1st Heathfield St Catherine's Scout Group,"Nikki Bush
Group Scout Leader
01626 832054
07807 029711
gsl1stheathfield@hotmail.com","Heathfield Community Centre
10 Cannon Road
Heathfield
NEWTON ABBOT
DEVON
TQ12 6SH",Approximately £35 membership per year. Beavers £1.75 per week subs. Cubs and Scouts £2 per week subs.,from 6 years  up to 14 years 6 months ,WGS84,-3.65122,50.56962
05/06/2014,IlpKUsyaJTk,1st Hemyock Scout Group,,"St Mary's Church
Cornhill
Hemyock
CULLOMPTON
DEVON
EX15 3RQ",,from 8 years  up to 14 years ,WGS84,-3.23263,50.91104
05/06/2014,hwIFNga4GU4,1st Highweek Village Scout Group,"Andrew Thorpe

andrew.thorpe@oxagtrials.co.uk","Highweek HQ
Howton Lane
NEWTON ABBOT
DEVON
TQ12 6NQ",£10 per month.,from 6 years  up to 18 years ,WGS84,-3.65656,50.54545
05/06/2014,HWRNe3v1Rko,1st Holsworthy Scout Group,holsworthyscoutgroup@hotmail.co.uk,"Holsworthy Scout and Guide Headquarters
Well Park, Western Road
HOLSWORTHY
DEVON
EX22 6DH",,from 6 years  up to 18 years ,WGS84,-4.35341,50.81218
05/06/2014,t_9Yjo1c-ts,1st Honiton Brownies,btsillitoe@tiscali.co.uk,"Honiton Baptist Church
High Street
HONITON
DEVON
EX14 1LJ",£22 per term.,from 7 years  up to 10 years ,WGS84,-3.19173,50.79904
05/06/2014,esJKMiM5eWk,1st Honiton Scout Group,,"Scout Hall
Dowell Street
HONITON
DEVON
EX14 1LT",,from 6 years  up to 18 years ,WGS84,-3.1928,50.79931
05/06/2014,70Rceod910o,1st Ilfracombe (Holy Trinity) Scout Group,,"Holy Trinity Church
Bradwell Road
ILFRACOMBE
DEVON
EX34 8BY",,from 10 years  up to 14 years ,WGS84,-4.12771,51.20656
05/06/2014,OOP2IicDOBs,1st Ipplepen Scout Group,1stipplepen@teignbridgescouts.co.uk,"Group Headquarters
Edgelands Lane
Ipplepen
NEWTON ABBOT
DEVON
TQ12 5QG",,from 6 years  up to 18 years ,WGS84,-3.64402,50.48516
05/06/2014,wjEDIb0Oybo,1st Ivybridge Scout Group,,"Scout and Guide Headquarters
Off Blachford Road, Victoria Lane
IVYBRIDGE
DEVON
PL21 0AD",£26 per term.,from 6 years  up to 25 years ,WGS84,-3.92242,50.39133
05/06/2014,7mj51-t5Emo,1st Kenton Scout Group,1stkenton@teignbridgescouts.co.uk,"Kenton Village Hall
Kenton Hill
Kenton
EXETER
DEVON
EX6 8JA",,from 6 years  up to 10 years ,WGS84,-3.46932,50.63958
05/06/2014,oBEN-SwBVPA,1st Kingskerswell Scout Group,1stkingskerswell@teignbridgescouts.co.uk,"Scout Hut
Dobbin Arch
Kingskerswell
NEWTON ABBOT
DEVON
TQ12 5FJ",,from 6 years  up to 18 years ,WGS84,-3.58419,50.50041
05/06/2014,w555a0z94Hs,1st Lifton Sea Scout Group,,"Scout HQ
Duntz Hill
LIFTON
DEVON
PL16 0AD",,from 6 years  up to 14 years ,WGS84,-4.29068,50.63897
05/06/2014,buiXif7jzG4,1st Liverton Scout Group,1stliverton@teignbridgescouts.co.uk,"Blackpool Primary School
Liverton
NEWTON ABBOT
DEVON
TQ12 6JB",,from 6 years  up to 18 years ,WGS84,-3.67775,50.55441
05/06/2014,UibHtriEfIc,1st Lustleigh Scout Group,1stlustleigh@teignbridgescouts.co.uk,"Lustleigh Village Hall
Lustleigh
NEWTON ABBOT
DEVON
TQ13 9TA",,from 6 years  up to 18 years ,WGS84,-3.71944,50.61819
05/06/2014,mDLXicILJKU,1st Lym Valley Scout Group,,"Scout Hut
Rhode Lane
Uplyme
LYME REGIS
DEVON
DT7 3TX",,from 6 years  up to 14 years ,WGS84,-2.95006,50.73813
05/06/2014,DKSZgi4wPks,1st Malborough Scout Group,,"Malborough Village Hall
Salcombe Road
Malborough
KINGSBRIDGE
DEVON
TQ7 3BX",,from 8 years  up to 10 years ,WGS84,-3.80867,50.24383
05/06/2014,XMrpRj1ZhAk,1st Marldon Scout Group,,"Scout HQ
Furzegood
Marldon
PAIGNTON
DEVON
TQ3 1PH",,from 8 years  up to 10 years ,WGS84,-3.59958,50.45621
05/06/2014,fgy9A3NDQuc,1st Modbury Scout Group,,"Modbury Memorial Hall
Back Street
Modbury
IVYBRIDGE
DEVON
PL21 0RF",,from 6 years  up to 24 years ,WGS84,-3.88797,50.35014
05/06/2014,jgDHHcwEOqs,1st Moretonhampstead Scout Group,renrag2320@btinternet.com,"Parish Hall
Fore Street
Moretonhampstead
NEWTON ABBOT
DEVON
TQ13 8LL",£2.50 per session.,from 6 years  up to 18 years ,WGS84,-3.76399,50.66101
05/06/2014,co8LHE2EumI,1st Newton Abbot Sea Scout Group,1stnewtonabbot@teignbridgescouts.co.uk,"The Scout Headquarters
Homers Lane
Kingsteignton
NEWTON ABBOT
DEVON
TQ12 3AE",,from 6 years  up to 14 years 6 months ,WGS84,-3.59913,50.54483
05/06/2014,SRWS0W3E4A8,1st North Devon (Barnstaple) Scout Group,,"Holy Trinity Church
Victoria Road
BARNSTAPLE
DEVON
EX32 9HP",,from 6 years  up to 24 years ,WGS84,-4.05073,51.07591
05/06/2014,wt3XOskoE64,1st Okehampton Scout Group,mail@1stokehamptonscouts.org.uk,"Scout Hut
Crediton Road
OKEHAMPTON
DEVON
EX20 1LU",Termly payment £25.,from 6 years  up to 18 years ,WGS84,-3.99784,50.73998
05/06/2014,kj5SvJefzjI,1st Otterton Rural Scout Group,,"Scout Hut
Fore Street
Otterton
BUDLEIGH SALTERTON
DEVON
EX9 7HB",,from 6 years  up to 10 years ,WGS84,-3.29939,50.66015
05/06/2014,RAfx5iKz4kA,1st Ottery St Mary Guides,lucyjayne@hotmail.co.uk,"Scout Headquarters
Winters Lane
Ottery St Mary
DEVON
EX11 1AR",£21 per term.,,WGS84,-3.28082,50.74967
05/06/2014,4z4PUToR3K0,1st Ottery St Mary Scout Group,,"Scout HQ
Winters Lane
Ottery St Mary
DEVON
EX11 1AT",,from 6 years  up to 18 years ,WGS84,-3.28033,50.74879
05/06/2014,NApVIQ7L1cA,1st Pinhoe Scout Group,,"Scout Hut
Langaton Lane
Pinhoe
EXETER
DEVON
EX1 3TX",,from 6 years  up to 14 years ,WGS84,-3.45885,50.73784
05/06/2014,k0RWyy3FN8s,1st Princetown Scout Group,,"Princetown Village Centre
Tavistock Road
Princetown
YELVERTON
DEVON
PL20 6QE",,from 6 years  up to 14 years ,WGS84,-3.99172,50.54469
05/06/2014,jJFhlwYmGpE,1st React Healthcare - 1st React Healthcare Domicilary Care Agency,,"2
Halsdon Avenue
Exmouth
Devon
EX8 3DL",,,WGS84,-3.41062,50.62841
05/06/2014,LpUXmOsmuvY,1st Response Medical Services,"M and K Graham
Owners","Unit 1
48 Beacon Lane
Exeter
Devon
EX4 8LJ",Contact us for details.,,WGS84,-3.49968,50.73403
05/06/2014,y88im4fgKEw,1st Roborough Scout Group,,"Woolwell Community and Resource Centre
Darklake Lane
Woolwell
PLYMOUTH
DEVON
PL6 7TR",,from 6 years  up to 18 years ,WGS84,-4.10141,50.4354
05/06/2014,ZMZD7ck-dPs,1st Sandford Scout Group,,"Scout HQ
Sandford
CREDITON
DEVON
EX17 4LZ",,from 6 years  up to 14 years ,WGS84,-3.6644,50.81005
05/06/2014,KYlVNs8NYYU,1st Seaton Scout Group,,"Scout Hall
Scalwell Lane
SEATON
DEVON
EX12 2DJ",,from 6 years  up to 14 years ,WGS84,-3.06962,50.71344
05/06/2014,uqlNzFLX9tk,1st Sid Vale Scout Group,,"Scout HQ
Manor Road
SIDMOUTH
DEVON
EX10 8RU",,from 6 years  up to 24 years ,WGS84,-3.24528,50.67665
05/06/2014,LPDhV8tECMs,1st Silverton Scout Group,,"Silverton Community Hall
Wyndham Road
Silverton
EXETER
DEVON
EX5 4JZ",,from 6 years  up to 14 years ,WGS84,-3.48152,50.81759
05/06/2014,_i1D_QM9YvY,1st South Brent Scout Group,hopwoodclan@yahoo.co.uk,"South Brent Village Hall
Station Road
SOUTH BRENT
DEVON
TQ10 9BE",£34 per term.,from 6 years  up to 18 years ,WGS84,-3.83392,50.42687
05/06/2014,ivhUtXXEJZ4,1st South Molton Scout Group,m.huntingford@virgin.net,"Scout HQ
Southley Road
SOUTH MOLTON
DEVON
EX36 4BL",£30 per term.,from 6 years  up to 14 years ,WGS84,-3.83418,51.0161
05/06/2014,RbYdRv5B-ks,1st South Zeal Scout Group,,"Victory Hall
South Zeal
OKEHAMPTON
DEVON
EX20 2JL",,from 6 years  up to 24 years ,WGS84,-3.91821,50.72726
05/06/2014,PbW3P2yDXok,1st Stoke Gabriel Scout Group,,"Scout HQ
Mill Pond
Stoke Gabriel
TOTNES
DEVON
TQ9 6RF",,from 6 years  up to 14 years ,WGS84,-3.62043,50.40393
05/06/2014,g-XQHDtSe4k,1st Tavistock Scout Group,,"Scout Hut
Pixon Lane
TAVISTOCK
DEVON
PL19 9RQ",,from 6 years  up to 24 years ,WGS84,-4.14669,50.54344
05/06/2014,5ykMThRA_ck,1st Tawstock Scout Group,,"St Michael's School
Tawstock Court
Tawstock
BARNSTAPLE
DEVON
EX31 3HY",,from 6 years  up to 24 years ,WGS84,-4.05875,51.05042
05/06/2014,hfVZbbdOANU,1st Tedburn and Cheriton Scout Group,,"Village Hall
Station Road
Cheriton Bishop
EXETER
DEVON
EX6 6JA",,from 8 years  up to 18 years ,WGS84,-3.74216,50.72489
05/06/2014,2h15i5z60AM,1st Teign Valley Scout Group,1stteignvalley@teignbridgescouts.co.uk,"Teign Valley Community Hall
Lower Town
Christow
EXETER
DEVON
EX6 7NA",,from 5 years 6 months  up to 14 years ,WGS84,-3.64643,50.65339
05/06/2014,imf0mBK7Z1E,"1st Teignmouth Girls Brigade, Teignmouth Baptist Church",office@teignmouthbaptist.org,"Teignmouth Baptist Church
Fore Street
TEIGNMOUTH
DEVON
TQ14 8DZ",£1 per session.,from 5 years  up to 18 years ,WGS84,-3.49737,50.54665
05/06/2014,ZlCV4ch9Th0,1st Tipton St John Scout Group,,"St John the Baptist Evangelist Church
Tipton St John
SIDMOUTH
DEVON
EX10 0AG",,from 6 years  up to 24 years ,WGS84,-3.29331,50.71878
05/06/2014,SqNPS5pvKiU,1st Tiverton Girls' Brigade,,"Tiverton Baptist Church Halls
Newport Street
TIVERTON
DEVON
EX16 6NH",£15 per term.,from 5 years  up to 20 years ,WGS84,-3.48793,50.90493
05/06/2014,kfTqJ-D338E,1st Tiverton Scout Group,,"Scout Hut
Greenway
Halberton
TIVERTON
DEVON
EX16 7AE",,from 6 years  up to 24 years ,WGS84,-3.41237,50.90937
05/06/2014,swNNzsCo3dQ,1st Topsham Sea Scout Group,nigeldavey@btinternet.com,"Scout Headquarters
Ferry Road
Topsham
EXETER
DEVON
EX3 0JW",Termly fee once invested as a member.,from 6 years  up to 14 years ,WGS84,-3.46926,50.68474
05/06/2014,N14z1OSJtyw,1st Torrington Scout Group,ashton@awslandfarm.freeserve.co.uk,"Torrington Scout Hut
Gas Lane
TORRINGTON
DEVON
EX38 7BE",£25 per term.,from 6 years  up to 14 years ,WGS84,-4.14178,50.95405
05/06/2014,mjMiCA8jprY,1st Wembury Scout Group,,"Wembury Primary School
Knighton Road
Wembury
PLYMOUTH
DEVON
PL9 0EB",,from 6 years  up to 24 years ,WGS84,-4.06691,50.32818
05/06/2014,xGG-Jwg_Gds,1st Whimple Scout Group,,"Scout Hut
The Square
Whimple
EXETER
DEVON
EX5 2SP",,from 6 years  up to 24 years ,WGS84,-3.35869,50.76575
05/06/2014,ChtoYKtrplk,1st Woodbury Scout Group,,"Scout Hut
Orchard Close
Woodbury
EXETER
DEVON
EX5 1ND",,from 6 years  up to 14 years ,WGS84,-3.39711,50.67661
05/06/2014,TWzHeJwt2xs,2 1/2 Year Drop-in at Heavitree and Polsloe Children's Centre,whiptoncc@actionforchildren.org.uk,"Ladysmith Infant School
Ladysmith Road
Polsloe
EXETER
DEVON
EX1 2PS",Free. Voluntary contribution of £1.,from 2 years  up to 3 years ,WGS84,-3.50814,50.72702
05/06/2014,Ec0ozmQmzI4,2 1/2 Year Old Development Checks at Whipton Children's Centre,whiptoncc@actionforchildren.org.uk,"Whipton Children's Centre
Hill Lane
Whipton
EXETER
DEVON
EX1 3JP",Free. Voluntary contribution of £1 per family or an additional £2 if you are using childcare.,from 2 years  up to 2 years 6 months ,WGS84,-3.4918,50.73124
05/06/2014,VLKJ8bFhodU,2 1/2 Year Old Drop-in at Beacon Heath Children's Centre,bhcc@actionforchildren.org.uk,"Beacon Heath Children's Centre
Pendragon House, Beacon Lane
Beacon Heath
EXETER
DEVON
EX4 8LZ",Free.,from 2 years  up to 2 years 6 months ,WGS84,-3.49602,50.73908
05/06/2014,t3m2oISokNg,20 (Bideford) Squadron Air Training Corps,,"Cadet Centre
Park Lane
BIDEFORD
DEVON
EX39 2QL",£10 per month.,from 13 years 3 months  up to 20 years ,WGS84,-4.20617,51.02329
05/06/2014,F5Ub9CpufRo,2019 (Sidmouth) Squadron Air Training Corps,recruitment@2019atc.org,"The Cadet Centre
Chambers Close
SIDMOUTH
DEVON
EX10 9YL","£1 per evening, paid quarterly (£25).",from 13 years  up to 20 years ,WGS84,-3.24517,50.69906
05/06/2014,rtJiReUc8-o,21st Exeter Scout Group,scoutsexeter21@live.co.uk,"St Lawrence Church Hall
Lower Hill Barton Road
Whipton
EXETER
DEVON
EX1 3EH",£30 per term.,from 6 years  up to 14 years ,WGS84,-3.48244,50.72373
05/06/2014,v-qreiA7KW8,2312 (Tavistock) Squadron Air Training Corps,oc.2312@aircadets.org,"Crelake Cadet Centre
Off Pixon Lane
TAVISTOCK
DEVON
PL19 8DH",£10 a month or £100 per year.,from 13 years  up to 18 years ,WGS84,-4.14929,50.54458
05/06/2014,HAMI61N1uz8,24 Hour Home Care Services Limited,,"Henbury Manor
Dorchester Road
Sturminster Marshall
Wimborne
Dorset
BH21 3RL",,,WGS84,-2.05482,50.78395
05/06/2014,fhjUdfV1JL4,24 Seven Home Help Limited - 2 Kingsland House,,"2
Kingsland House
514 Wimborne Road East
Ferndown
BH22 9NG",,,WGS84,-1.89613,50.80785
05/06/2014,ZoHQLOg_txw,24+ Advanced Learning Loans,,,,,WGS84,0,0
05/06/2014,b3Eb9oSipO4,2469 (Exeter St Thomas) Squadron Air Training Corps,2469@aircadets.org,"Cowick Barton Playing Fields
Old Vicarage Road
St Thomas
EXETER
DEVON
EX2 9DQ",£8 per month.,from 13 years  up to 20 years ,WGS84,-3.5437,50.7147
05/06/2014,nmMQE3nWMOw,299 (Exmouth) Squadron Air Training Corps,299@aircadets.org,"Phear Park, Withycombe Road
EXMOUTH
DEVON
EX8 1TJ",£60 per year.,from 13 years  up to 20 years ,WGS84,-3.40747,50.62546
05/06/2014,n7vTtLuyFN0,2nd Bere Alston Scout Group,,"Parish Hall
Station Road
Bere Alston
YELVERTON
DEVON
PL20 7EJ",,from 6 years  up to 14 years ,WGS84,-4.19132,50.48051
05/06/2014,Bu8vZBP6NOg,2nd Bideford Scout Group,,"Scout HQ
Silver Street
BIDEFORD
DEVON
EX39 2DY",,from 6 years  up to 24 years ,WGS84,-4.20711,51.01596
05/06/2014,k6IgPmImYDk,2nd Exeter (St Michaels) Scout Group,,"Scout HQ
South Lawn Terrace
Heavitree
EXETER
DEVON
EX1 2RX",,from 6 years  up to 14 years ,WGS84,-3.50554,50.7232
05/06/2014,JcmDWj2cnJQ,"2nd Exminster Beavers, Cubs and Scouts",m.edwards862@btinternet.com,"Deepway Centre
Deepway Lane
Exminster
EXETER
DEVON
EX6 8AT",£35 per term.,from 6 years  up to 14 years ,WGS84,-3.49914,50.68241
